Condition,Model,FN_Category,Count
Hypertension,Claude_Sonnet_5,Procedural/surgical code,0
Hypertension,Claude_Sonnet_5,Cause-of-death code,0
Hypertension,Claude_Sonnet_5,History/resolved code,2
Hypertension,Claude_Sonnet_5,Sequelae/historical code,0
Hypertension,Claude_Sonnet_5,Complication code,0
Hypertension,Claude_Sonnet_5,Missed valid diagnosis,64
Hypertension,Gemini_3.6_Flash,Not in dictionary,20
Hypertension,Gemini_3.6_Flash,Administrative/monitoring code,59
Hypertension,Gemini_3.6_Flash,Procedural/surgical code,0
Hypertension,Gemini_3.6_Flash,Cause-of-death code,0
Hypertension,Gemini_3.6_Flash,History/resolved code,2
Hypertension,Gemini_3.6_Flash,Sequelae/historical code,0
Hypertension,Gemini_3.6_Flash,Complication code,0
Hypertension,Gemini_3.6_Flash,Missed valid diagnosis,55
Myocardial Infarction,GPT-5.4_Mini,Not in dictionary,38
Myocardial Infarction,GPT-5.4_Mini,Administrative/monitoring code,3
Myocardial Infarction,GPT-5.4_Mini,Procedural/surgical code,3
Myocardial Infarction,GPT-5.4_Mini,Cause-of-death code,0
Myocardial Infarction,GPT-5.4_Mini,History/resolved code,3
Myocardial Infarction,GPT-5.4_Mini,Sequelae/historical code,0
Myocardial Infarction,GPT-5.4_Mini,Complication code,8
Myocardial Infarction,GPT-5.4_Mini,Missed valid diagnosis,65
Myocardial Infarction,Claude_Sonnet_5,Not in dictionary,38
Myocardial Infarction,Claude_Sonnet_5,Administrative/monitoring code,3
Myocardial Infarction,Claude_Sonnet_5,Procedural/surgical code,3
Myocardial Infarction,Claude_Sonnet_5,Cause-of-death code,2
Myocardial Infarction,Claude_Sonnet_5,History/resolved code,6
Myocardial Infarction,Claude_Sonnet_5,Sequelae/historical code,2
Myocardial Infarction,Claude_Sonnet_5,Complication code,7
Myocardial Infarction,Claude_Sonnet_5,Missed valid diagnosis,42
Myocardial Infarction,Gemini_3.6_Flash,Not in dictionary,38
Myocardial Infarction,Gemini_3.6_Flash,Administrative/monitoring code,3
Myocardial Infarction,Gemini_3.6_Flash,Procedural/surgical code,3
Myocardial Infarction,Gemini_3.6_Flash,Cause-of-death code,0
Myocardial Infarction,Gemini_3.6_Flash,History/resolved code,6
Myocardial Infarction,Gemini_3.6_Flash,Sequelae/historical code,2
Myocardial Infarction,Gemini_3.6_Flash,Complication code,8
Myocardial Infarction,Gemini_3.6_Flash,Missed valid diagnosis,23
Peripheral Arterial Disease,GPT-5.4_Mini,Not in dictionary,57
Peripheral Arterial Disease,GPT-5.4_Mini,Administrative/monitoring code,0
Peripheral Arterial Disease,GPT-5.4_Mini,Procedural/surgical code,239
Peripheral Arterial Disease,GPT-5.4_Mini,Cause-of-death code,0
Peripheral Arterial Disease,GPT-5.4_Mini,History/resolved code,1
Peripheral Arterial Disease,GPT-5.4_Mini,Sequelae/historical code,0
Peripheral Arterial Disease,GPT-5.4_Mini,Complication code,0
Peripheral Arterial Disease,GPT-5.4_Mini,Missed valid diagnosis,129
Peripheral Arterial Disease,Claude_Sonnet_5,Not in dictionary,57
Peripheral Arterial Disease,Claude_Sonnet_5,Administrative/monitoring code,0
Peripheral Arterial Disease,Claude_Sonnet_5,Procedural/surgical code,239
Peripheral Arterial Disease,Claude_Sonnet_5,Cause-of-death code,0
Peripheral Arterial Disease,Claude_Sonnet_5,History/resolved code,1
Peripheral Arterial Disease,Claude_Sonnet_5,Sequelae/historical code,0
Peripheral Arterial Disease,Claude_Sonnet_5,Complication code,0
Peripheral Arterial Disease,Claude_Sonnet_5,Missed valid diagnosis,93
Peripheral Arterial Disease,Gemini_3.6_Flash,Not in dictionary,57
Peripheral Arterial Disease,Gemini_3.6_Flash,Administrative/monitoring code,0
Peripheral Arterial Disease,Gemini_3.6_Flash,Procedural/surgical code,239
Peripheral Arterial Disease,Gemini_3.6_Flash,Cause-of-death code,0
Peripheral Arterial Disease,Gemini_3.6_Flash,History/resolved code,1
Peripheral Arterial Disease,Gemini_3.6_Flash,Sequelae/historical code,0
Peripheral Arterial Disease,Gemini_3.6_Flash,Complication code,0
Peripheral Arterial Disease,Gemini_3.6_Flash,Missed valid diagnosis,96
COPD,GPT-5.4_Mini,Not in dictionary,20
COPD,GPT-5.4_Mini,Administrative/monitoring code,55
COPD,GPT-5.4_Mini,Procedural/surgical code,0
COPD,GPT-5.4_Mini,Cause-of-death code,0
COPD,GPT-5.4_Mini,History/resolved code,1
COPD,GPT-5.4_Mini,Sequelae/historical code,4
COPD,GPT-5.4_Mini,Complication code,0
COPD,GPT-5.4_Mini,Missed valid diagnosis,103
COPD,Claude_Sonnet_5,Not in dictionary,20
COPD,Claude_Sonnet_5,Administrative/monitoring code,65
COPD,Claude_Sonnet_5,Procedural/surgical code,0
COPD,Claude_Sonnet_5,Cause-of-death code,0
COPD,Claude_Sonnet_5,History/resolved code,2
COPD,Claude_Sonnet_5,Sequelae/historical code,0
COPD,Claude_Sonnet_5,Complication code,0
COPD,Claude_Sonnet_5,Missed valid diagnosis,70
COPD,Gemini_3.6_Flash,Not in dictionary,20
COPD,Gemini_3.6_Flash,Administrative/monitoring code,65
COPD,Gemini_3.6_Flash,Procedural/surgical code,0
COPD,Gemini_3.6_Flash,Cause-of-death code,0
COPD,Gemini_3.6_Flash,History/resolved code,4
COPD,Gemini_3.6_Flash,Sequelae/historical code,0
COPD,Gemini_3.6_Flash,Complication code,0
COPD,Gemini_3.6_Flash,Missed valid diagnosis,63
Asthma,GPT-5.4_Mini,Not in dictionary,19
Asthma,GPT-5.4_Mini,Administrative/monitoring code,16
Asthma,GPT-5.4_Mini,Procedural/surgical code,0
Asthma,GPT-5.4_Mini,Cause-of-death code,0
Asthma,GPT-5.4_Mini,History/resolved code,0
Asthma,GPT-5.4_Mini,Sequelae/historical code,2
Asthma,GPT-5.4_Mini,Complication code,0
Asthma,GPT-5.4_Mini,Missed valid diagnosis,105
Asthma,Claude_Sonnet_5,Not in dictionary,19
Asthma,Claude_Sonnet_5,Administrative/monitoring code,16
Asthma,Claude_Sonnet_5,Procedural/surgical code,0
Asthma,Claude_Sonnet_5,Cause-of-death code,0
Asthma,Claude_Sonnet_5,History/resolved code,0
Asthma,Claude_Sonnet_5,Sequelae/historical code,2
Asthma,Claude_Sonnet_5,Complication code,0
Asthma,Claude_Sonnet_5,Missed valid diagnosis,99
Asthma,Gemini_3.6_Flash,Not in dictionary,19
Asthma,Gemini_3.6_Flash,Administrative/monitoring code,16
Asthma,Gemini_3.6_Flash,Procedural/surgical code,0
Asthma,Gemini_3.6_Flash,Cause-of-death code,0
Asthma,Gemini_3.6_Flash,History/resolved code,0
Asthma,Gemini_3.6_Flash,Sequelae/historical code,2
Asthma,Gemini_3.6_Flash,Complication code,0
Asthma,Gemini_3.6_Flash,Missed valid diagnosis,91
Insulin,GPT-5.4_Mini,Not in dictionary,0
Insulin,GPT-5.4_Mini,Administrative/monitoring code,0
Insulin,GPT-5.4_Mini,Procedural/surgical code,0
Insulin,GPT-5.4_Mini,Cause-of-death code,0
Insulin,GPT-5.4_Mini,History/resolved code,0
Insulin,GPT-5.4_Mini,Sequelae/historical code,0
Insulin,GPT-5.4_Mini,Complication code,0
Insulin,GPT-5.4_Mini,Missed valid diagnosis,111
Insulin,Claude_Sonnet_5,Not in dictionary,0
Insulin,Claude_Sonnet_5,Administrative/monitoring code,0
Insulin,Claude_Sonnet_5,Procedural/surgical code,0
Insulin,Claude_Sonnet_5,Cause-of-death code,0
Insulin,Claude_Sonnet_5,History/resolved code,0
Insulin,Claude_Sonnet_5,Sequelae/historical code,0
Insulin,Claude_Sonnet_5,Complication code,0
Insulin,Claude_Sonnet_5,Missed valid diagnosis,79
Insulin,Gemini_3.6_Flash,Not in dictionary,0
Insulin,Gemini_3.6_Flash,Administrative/monitoring code,0
Insulin,Gemini_3.6_Flash,Procedural/surgical code,0
Insulin,Gemini_3.6_Flash,Cause-of-death code,0
Insulin,Gemini_3.6_Flash,History/resolved code,0
Insulin,Gemini_3.6_Flash,Sequelae/historical code,0
Insulin,Gemini_3.6_Flash,Complication code,0
Insulin,Gemini_3.6_Flash,Missed valid diagnosis,80
Metformin,GPT-5.4_Mini,Not in dictionary,0
Metformin,GPT-5.4_Mini,Administrative/monitoring code,0
Metformin,GPT-5.4_Mini,Procedural/surgical code,0
Metformin,GPT-5.4_Mini,Cause-of-death code,0
Metformin,GPT-5.4_Mini,History/resolved code,0
Metformin,GPT-5.4_Mini,Sequelae/historical code,0
Metformin,GPT-5.4_Mini,Complication code,0
Metformin,GPT-5.4_Mini,Missed valid diagnosis,27
Metformin,Claude_Sonnet_5,Not in dictionary,0
Metformin,Claude_Sonnet_5,Administrative/monitoring code,0
Metformin,Claude_Sonnet_5,Procedural/surgical code,0
Metformin,Claude_Sonnet_5,Cause-of-death code,0
Metformin,Claude_Sonnet_5,History/resolved code,0
Metformin,Claude_Sonnet_5,Sequelae/historical code,0
Metformin,Claude_Sonnet_5,Complication code,0
Metformin,Claude_Sonnet_5,Missed valid diagnosis,6
Metformin,Gemini_3.6_Flash,Not in dictionary,0
Metformin,Gemini_3.6_Flash,Administrative/monitoring code,0
Metformin,Gemini_3.6_Flash,Procedural/surgical code,0
Metformin,Gemini_3.6_Flash,Cause-of-death code,0
Metformin,Gemini_3.6_Flash,History/resolved code,0
Metformin,Gemini_3.6_Flash,Sequelae/historical code,0
Metformin,Gemini_3.6_Flash,Complication code,0
Metformin,Gemini_3.6_Flash,Missed valid diagnosis,6
